kT  U_n0  U_n1  U_n2  U_n3  U_n4  U_n5
1.000000000000000021e-02 2.359557763592705637e+00 2.359119764639763250e+00 2.358678889470874118e+00 1.891613819360246751e+00 1.489691579756411421e+00 1.082007564195473170e+00
2.000000000000000042e-02 2.359557763592706081e+00 2.359119764639763694e+00 2.358678926469001347e+00 1.891613819395355556e+00 1.489691579756411643e+00 1.082007564195473170e+00
2.999999999999999889e-02 2.359557763592706081e+00 2.359119764685807752e+00 2.358686479295315497e+00 1.891613902497524036e+00 1.489691579756650119e+00 1.082007564195473170e+00
4.000000000000000083e-02 2.359557763594654300e+00 2.359119780827977575e+00 2.358787563400229548e+00 1.891617864965044138e+00 1.489691580085863665e+00 1.082007564195491600e+00
5.000000000000000278e-02 2.359557764027754967e+00 2.359120310159634748e+00 2.359214886578510306e+00 1.891655435640899663e+00 1.489691604985676765e+00 1.082007564206233008e+00
6.000000000000000472e-02 2.359557779605491845e+00 2.359125455990735976e+00 2.360228392353090232e+00 1.891810605819845170e+00 1.489692034722491787e+00 1.082007564949549971e+00
6.999999999999999278e-02 2.359557973964306221e+00 2.359150147901094563e+00 2.361975693675142374e+00 1.892210410932082754e+00 1.489695170410863856e+00 1.082007579888621729e+00
8.000000000000000167e-02 2.359559215292509560e+00 2.359226464283547653e+00 2.364464921969041011e+00 1.892983113524105088e+00 1.489708486659742093e+00 1.082007717103738109e+00
8.999999999999999667e-02 2.359564285054324362e+00 2.359403158549487678e+00 2.367605408953561863e+00 1.894223186143025206e+00 1.489747996591733292e+00 1.082008462525393622e+00
9.999999999999999167e-02 2.359579456361090344e+00 2.359738710344122747e+00 2.371258848785506856e+00 1.895977444321744310e+00 1.489839509141915652e+00 1.082011267923056241e+00
1.100000000000000006e-01 2.359615756086150817e+00 2.360292116845800425e+00 2.375277302953754166e+00 1.898247652049261491e+00 1.490017065045144751e+00 1.082019366997101217e+00
1.199999999999999956e-01 2.359689357276239630e+00 2.361115051229942807e+00 2.379525015247216047e+00 1.901001011380711425e+00 1.490319423321255998e+00 1.082038569494601754e+00
1.300000000000000044e-01 2.359820985638586333e+00 2.362246935837137851e+00 2.383888016528196818e+00 1.904182349088679560e+00 1.490785965706562743e+00 1.082077765960378413e+00
1.400000000000000133e-01 2.360034585868149293e+00 2.363712919589490369e+00 2.388276269507038307e+00 1.907724837240172500e+00 1.491453074361913878e+00 1.082148995512449918e+00
1.500000000000000222e-01 2.360355632641753854e+00 2.365524055547759463e+00 2.392621951216162390e+00 1.911558137494225207e+00 1.492351506691350416e+00 1.082267080271505311e+00
1.600000000000000033e-01 2.360809434906241844e+00 2.367678852830631619e+00 2.396876136857511774e+00 1.915613944801114243e+00 1.493504867525728752e+00 1.082448935252071198e+00
1.700000000000000122e-01 2.361419669117965192e+00 2.370165511829799510e+00 2.401005139151346057e+00 1.919829361396255596e+00 1.494929038849284186e+00 1.082712702253447734e+00
1.800000000000000211e-01 2.362207259079332822e+00 2.372964353462808873e+00 2.404987112368559554e+00 1.924148645949805170e+00 1.496632333579049012e+00 1.083076846636624069e+00
1.900000000000000022e-01 2.363189629605190856e+00 2.376050137490814063e+00 2.408809160162509233e+00 1.928523839539270313e+00 1.498616133742163514e+00 1.083559321454643731e+00
2.000000000000000111e-01 2.364380304772768060e+00 2.379394105321622988e+00 2.412464993232854571e+00 1.932914671144139618e+00 1.500875808438090875e+00 1.084176863438260696e+00
2.100000000000000200e-01 2.365788793251769384e+00 2.382965678772944074e+00 2.415953093379067607e+00 1.937288040152955748e+00 1.503401754933856527e+00 1.084944450537707272e+00
2.200000000000000011e-01 2.367420694342794008e+00 2.386733806458478657e+00 2.419275307230832617e+00 1.941617282461818306e+00 1.506180452649135137e+00 1.085874925078302855e+00
2.300000000000000100e-01 2.369277960981661657e+00 2.390667983637193128e+00 2.422435787790410799e+00 1.945881355906369681e+00 1.509195458670223200e+00 1.086978770160363705e+00
2.400000000000000189e-01 2.371359264349003126e+00 2.394738988010610470e+00 2.425440209289234872e+00 1.950064029095496032e+00 1.512428303348145819e+00 1.088264018036087188e+00
2.500000000000000000e-01 2.373660415175517624e+00 2.398919379504814930e+00 2.428295192600700148e+00 1.954153121839719232e+00 1.515859266149591100e+00 1.089736265713822094e+00
2.600000000000000089e-01 2.376174807238693454e+00 2.403183811088184019e+00 2.431007890617536304e+00 1.958139821506255762e+00 1.519468026679788419e+00 1.091398773066672101e+00
2.700000000000000178e-01 2.378893857844551540e+00 2.407509193210102705e+00 2.433585693904412484e+00 1.962018084432071374e+00 1.523234195247157530e+00 1.093252620778800921e+00
2.800000000000000266e-01 2.381807427862323578e+00 2.411874748456833917e+00 2.436036026028788548e+00 1.965784122321059035e+00 1.527137732894700228e+00 1.095296908508926581e+00
2.900000000000000355e-01 2.384904210079519249e+00 2.416261986695457775e+00 2.438366205249725027e+00 1.969435968356741506e+00 1.531159273634096429e+00 1.097528977011002382e+00
2.999999999999999889e-01 2.388172079402572034e+00 2.420654624985705716e+00 2.440583354922190917e+00 1.972973115162979907e+00 1.535280362578394397e+00 1.099944641223374209e+00
3.099999999999999978e-01 2.391598401954039943e+00 2.425038471217919156e+00 2.442694349334554094e+00 1.976396215767314501e+00 1.539483623443547833e+00 1.102538424303614040e+00
3.200000000000000067e-01 2.395170302637909643e+00 2.429401285910598673e+00 2.444705785012431853e+00 1.979706838711456474e+00 1.543752867957330022e+00 1.105303785152061735e+00
3.300000000000000155e-01 2.398874892472437459e+00 2.433732632878127689e+00 2.446623970029341066e+00 1.982907268984720917e+00 1.548073158410640859e+00 1.108233334112041613e+00
3.400000000000000244e-01 2.402699458110213016e+00 2.438023726496523214e+00 2.448454925755775946e+00 1.986000347257620424e+00 1.552430833135644228e+00 1.111319033279509982e+00
3.500000000000000333e-01 2.406631616631460524e+00 2.442267280960189080e+00 2.450204396904352766e+00 1.988989340797344685e+00 1.556813503241891938e+00 1.114552379240989710e+00
3.600000000000000422e-01 2.410659439032031059e+00 2.446457365133494655e+00 2.451877866805156625e+00 1.991877840355312790e+00 1.561210027572644377e+00 1.117924567135441638e+00
3.699999999999999956e-01 2.414771545928838581e+00 2.450589265258815708e+00 2.453480575659373830e+00 1.994669678174261440e+00 1.565610471605981102e+00 1.121426635752998502e+00
3.800000000000000044e-01 2.418957178946131492e+00 2.454659356797705527e+00 2.455017540136182230e+00 1.997368863040554610e+00 1.570006054939444784e+00 1.125049593987653695e+00
3.900000000000000133e-01 2.423206251081602147e+00 2.458664985976837691e+00 2.456493573145812626e+00 1.999979528995732503e+00 1.574389091065827806e+00 1.128784529393092706e+00
4.000000000000000222e-01 2.427509379122551270e+00 2.462604361120339647e+00 2.457913302976946657e+00 2.002505894918672702e+00 1.578752922363867217e+00 1.132622699886181250e+00
4.100000000000000311e-01 2.431857900918687587e+00 2.466476453522445489e+00 2.459281191255833665e+00 2.004952232700815351e+00 1.583091852577882319e+00 1.136555609830732338e+00
4.200000000000000400e-01 2.436243880040410037e+00 2.470280907406810833e+00 2.460601549387674947e+00 2.007322842168993926e+00 1.587401078528765552e+00 1.140575071839524446e+00
4.299999999999999933e-01 2.440660100073844152e+00 2.474017958398392558e+00 2.461878553293121108e+00 2.009622031272274345e+00 1.591676622368925598e+00 1.144673255675012546e+00
4.400000000000000022e-01 2.445100050536038072e+00 2.477688359875083624e+00 2.463116256365578405e+00 2.011854100349521612e+00 1.595915265349779899e+00 1.148842725624816818e+00
4.500000000000000111e-01 2.449557906141395236e+00 2.481293316550046146e+00 2.464318600657110725e+00 2.014023329541724028e+00 1.600114483797895115e+00 1.153076467689709395e+00
4.600000000000000200e-01 2.454028500917152744e+00 2.484834424647683893e+00 2.465489426359073200e+00 2.016133968615180017e+00 1.604272387781942921e+00 1.157367907859554235e+00
4.700000000000000289e-01 2.458507298453033396e+00 2.488313618065809862e+00 2.466632479683315005e+00 2.018190228625456051e+00 1.608387662786372463e+00 1.161710922674487501e+00
4.800000000000000377e-01 2.462990359378617100e+00 2.491733119956434095e+00 2.467751419275270308e+00 2.020196274983852902e+00 1.612459514579640318e+00 1.166099843180683493e+00
4.899999999999999911e-01 2.467474306990953714e+00 2.495095399202438280e+00 2.468849821304672787e+00 2.022156221593241376e+00 1.616487617367334373e+00 1.170529453297088240e+00
5.000000000000000000e-01 2.471956291803622197e+00 2.498403131313574832e+00 2.469931183385767337e+00 2.024074125803303481e+00 1.620472065247138049e+00 1.174994983515092795e+00
5.100000000000000089e-01 2.476433955655457098e+00 2.501659163310501643e+00 2.470998927478791796e+00 2.025953984000310015e+00 1.624413326928174639e+00 1.179492100759908624e+00
5.200000000000000178e-01 2.480905395901169097e+00 2.504866482208469414e+00 2.472056401919928259e+00 2.027799727697039867e+00 1.628312203637632072e+00 1.184016895152327553e+00
5.300000000000000266e-01 2.485369130105444135e+00 2.508028186751965372e+00 2.473106882719144028e+00 2.029615220027003009e+00 1.632169790109451846e+00 1.188565864323906540e+00
5.400000000000000355e-01 2.489824061575413250e+00 2.511147462087817583e+00 2.474153574255485211e+00 2.031404252576289871e+00 1.635987438530571270e+00 1.193135895858341344e+00
