kT  z1_n0  z1_n1  z1_n2  z1_n3  z1_n4  z1_n5
1.000000000000000021e-02 3.355122287591894100e-103 3.505342083395403635e-103 3.663341215195236261e-103 7.051079900581001503e-83 2.011484625287495425e-65 1.020959581442147421e-47
2.000000000000000042e-02 5.792341743709442140e-52 5.920592946146025219e-52 6.052554885195088890e-52 8.397070859319358511e-42 4.484957776041482042e-33 3.195245814396988483e-24
2.999999999999999889e-02 6.948687561702804397e-35 7.050882363000077083e-35 7.155436139643800473e-35 4.131286267885235352e-28 2.719603381331715322e-22 2.169382752828703310e-16
4.000000000000000083e-02 2.406728431653705880e-26 2.433226914742339037e-26 2.461031222485104898e-26 2.897795127505837784e-21 6.696982738104792352e-17 1.787525052802639708e-12
5.000000000000000278e-02 3.199938789760979080e-21 3.228095824985760135e-21 3.262156854761835500e-21 3.712700342377930133e-17 1.150014605663589679e-13 3.997621846910026874e-10
6.000000000000000472e-02 8.335878938318144528e-18 8.397021167849466030e-18 8.500114157863772916e-18 2.033414744035473947e-14 1.649122867895688171e-11 1.472882464894936673e-08
6.999999999999999278e-02 2.295173725579401670e-15 2.309679249049904830e-15 2.348409844709665129e-15 1.839046251723227021e-12 5.723307004722415924e-10 1.936427433378399411e-07
8.000000000000000167e-02 1.551365492574681874e-13 1.560117024289043483e-13 1.597436504586540252e-13 5.398951760394111998e-11 8.183668939651603482e-09 1.336983725250166322e-06
8.999999999999999667e-02 4.111215226926288365e-12 4.132911850170378470e-12 4.270887105009271022e-12 7.489728630731223570e-10 6.479329958222049996e-08 6.008679418785965520e-06
9.999999999999999167e-02 5.656913590462186549e-11 5.686634425577219661e-11 5.940700153334496484e-11 6.150491192757480245e-09 3.391764743240409423e-07 1.999411181820111359e-05
1.100000000000000006e-01 4.832574845481792759e-10 4.859694045526237751e-10 5.138072786729236290e-10 3.450515496448143034e-08 1.314209088206620758e-06 5.346821761083012288e-05
1.199999999999999956e-01 2.887543483690821506e-09 2.905991842730440628e-09 3.111475932419482568e-09 1.454974983018579014e-07 4.063878945324447847e-06 1.213653206975449640e-04
1.300000000000000044e-01 1.310593093898148145e-08 1.320566428769784547e-08 1.432192099381474747e-08 4.926113874727800858e-07 1.056563396215972020e-05 2.428467326821950379e-04
