kT  Cv_n0  Cv_n1  Cv_n2  Cv_n3  Cv_n4  Cv_n5
1.000000000000000021e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.881784197001252323e-12 8.881784197001252323e-12 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000042e-02 -6.661338147750939243e-12 -2.220446049250313081e-12 2.954515299080640034e-05 4.091837979558476945e-08 -2.220446049250313081e-12 0.000000000000000000e+00
2.999999999999999889e-02 -9.868649107779169024e-13 3.599096329607063834e-08 2.693675986462393951e-03 4.306401210938147006e-05 2.294460917558657195e-10 0.000000000000000000e+00
4.000000000000000083e-02 1.316169395693123079e-09 7.117667566447494210e-06 2.168822748893628471e-02 1.178748027519382902e-03 1.786593095687294408e-07 1.471045507628332416e-11
5.000000000000000278e-02 1.882380473716693549e-07 1.535072748026777845e-04 6.836904683673594718e-02 7.759714791966132452e-03 8.756226499428976240e-06 5.487077459065402846e-09
6.000000000000000472e-02 4.811419904468846708e-06 1.112162089089707489e-03 1.368183905686098101e-01 2.547244447925755412e-02 1.096550602171693513e-04 2.670486671302935008e-07
6.999999999999999278e-02 4.644081001845048329e-05 4.361925911985749943e-03 2.126952699207079467e-01 5.668735274522163081e-02 6.358111240222207852e-04 4.083113439193943512e-06
8.000000000000000167e-02 2.453607561569981499e-04 1.172670103841144673e-02 2.835491921150679051e-01 9.944903321755516057e-02 2.292070752848984760e-03 3.045989294125917013e-05
8.999999999999999667e-02 8.708956972864396366e-04 2.460306651511193210e-02 3.421795859187627964e-01 1.493391609856213054e-01 6.042933976258813705e-03 1.413930224206482844e-04
9.999999999999999167e-02 2.346470557235136745e-03 4.350398264039156970e-02 3.860075452780442617e-01 2.015229235757143300e-01 1.283313580215938998e-02 4.721882897573693159e-04
1.100000000000000006e-01 5.184083250462673091e-03 6.804670839486641476e-02 4.154058659965147449e-01 2.519509729354226790e-01 2.333111175822819364e-02 1.243578357131874595e-03
1.199999999999999956e-01 9.883904813675256293e-03 9.720038854694254549e-02 4.322343883205059245e-01 2.977832472538121666e-01 3.780306144066412216e-02 2.744987111502616983e-03
1.300000000000000044e-01 1.684374668040006587e-02 1.295951799683420780e-01 4.388686322385124683e-01 3.373569401807234858e-01 5.611617615322828795e-02 5.295596048797924539e-03
1.400000000000000133e-01 2.630375936496282679e-02 1.637830352089265640e-01 4.376573911212923718e-01 3.699592602381769901e-01 7.782068550253169736e-02 9.198537256349895858e-03
1.500000000000000222e-01 3.832988246605691790e-02 1.984154676627269687e-01 4.306697726696265272e-01 3.955568851231481275e-01 1.022600857500598204e-01 1.470180897525313023e-02
1.600000000000000033e-01 5.282705003609861061e-02 2.323432093125771258e-01 4.196116110046638203e-01 4.145534862267340470e-01 1.286764660079868505e-01 2.197308085742470662e-02
1.700000000000000122e-01 6.956975813923420293e-02 2.646567045762244774e-01 4.058295796007850287e-01 4.275998632813839961e-01 1.562952345611417770e-01 3.108948365388750773e-02
1.800000000000000211e-01 8.823930284843722882e-02 2.946875318183607706e-01 3.903540161892468108e-01 4.354579597283027015e-01 1.843851780628883164e-01 4.203979057032582178e-02
1.900000000000000022e-01 1.084603784848322400e-01 3.219871316751879431e-01 3.739537615455312269e-01 4.389104853234493953e-01 2.122959118064779438e-01 5.473502323241088291e-02
2.000000000000000111e-01 1.298329407386056011e-01 3.462945609707279715e-01 3.571898730267530908e-01 4.387054135061574378e-01 2.394772085663188221e-01 6.902363082279537598e-02
2.100000000000000200e-01 1.519576251457878391e-01 3.675009169814678622e-01 3.404626795906785519e-01 4.355253635264897949e-01 2.654850788577703402e-01 8.470819521211690739e-02
2.200000000000000011e-01 1.744545236232780960e-01 3.856149931320589364e-01 3.240506010950076066e-01 4.299737584521546307e-01 2.899789185237829914e-01 1.015615779221493153e-01
2.300000000000000100e-01 1.969759468184902051e-01 4.007325826657012757e-01 3.081410270019437903e-01 4.225716786805527314e-01 3.127131641252148264e-01 1.193412773891589646e-01
2.400000000000000189e-01 2.192141603949487871e-01 4.130104496172082862e-01 2.928543023159343450e-01 4.137610973362224609e-01 3.335260120590256561e-01 1.378014122802260211e-01
2.500000000000000000e-01 2.409051629763325764e-01 4.226451333552461165e-01 2.782620582234613948e-01 4.039115717677006501e-01 3.523269931794672516e-01 1.567021865592295171e-01
2.600000000000000089e-01 2.618295020846204690e-01 4.298562735735735885e-01 2.644010568481496293e-01 3.933284884728247000e-01 3.690845877188456692e-01 1.758169612744816535e-01
2.700000000000000178e-01 2.818109848230553327e-01 4.348739077608245185e-01 2.512835530217009672e-01 3.822616796320125188e-01 3.838146093881948939e-01 1.949372021825454548e-01
2.800000000000000266e-01 3.007139808596667740e-01 4.379291106651075904e-01 2.389049890428442957e-01 3.709137191468768746e-01 3.965697599947017316e-01 2.138756322231881724e-01
2.900000000000000355e-01 3.184398624540012990e-01 4.392473520627956374e-01 2.272496656567680462e-01 3.594475279862340833e-01 4.074305302653939420e-01 2.324679253478487140e-01
2.999999999999999889e-01 3.349229919236683672e-01 4.390440036838269000e-01 2.162948863841841762e-01 3.479931232110051731e-01 4.164974741921778079e-01 2.505732559647588786e-01
3.099999999999999978e-01 3.501265551421627320e-01 4.375215021018581396e-01 2.060139546900136565e-01 3.366534700006030834e-01 4.238847923785871163e-01 2.680739814201468230e-01
3.200000000000000067e-01 3.640384501503619585e-01 4.348677558266636489e-01 1.963783115563593751e-01 3.255094683514729303e-01 4.297151080759472608e-01 2.848746929683446671e-01
3.300000000000000155e-01 3.766673704664595390e-01 4.312554626918516654e-01 1.873590305388588284e-01 3.146241445935756276e-01 4.341152952143657595e-01 3.009008291443733829e-01
3.400000000000000244e-01 3.880391701240619717e-01 4.268420733323848304e-01 1.789278339709280408e-01 3.040461351414991964e-01 4.372132113750702986e-01 3.160970072949548793e-01
3.500000000000000333e-01 3.981935587092245710e-01 4.217701962530842064e-01 1.710577537730157138e-01 2.938125543487553615e-01 4.391351935252094107e-01 3.304251955680418962e-01
3.600000000000000422e-01 4.071811468309560755e-01 4.161682895066887156e-01 1.637235301390865816e-01 2.839513354007437984e-01 4.400041856624317682e-01 3.438628192538094597e-01
3.699999999999999956e-01 4.150608430568395457e-01 4.101515240198768675e-01 1.569018187122523111e-01 2.744831263152451295e-01 4.399383820284174518e-01 3.564008718173245494e-01
3.800000000000000044e-01 4.218975903384819537e-01 4.038227352521503999e-01 1.505712597977838796e-01 2.654228144597115535e-01 4.390502850964661530e-01 3.680420817993943494e-01
3.900000000000000133e-01 4.277604216914334123e-01 3.972734044106198681e-01 1.447124502622169073e-01 2.567807438285016897e-01 4.374460927704723612e-01 3.787991714175795721e-01
4.000000000000000222e-01 4.327208100985801553e-01 3.905846291223868949e-01 1.393078489567323164e-01 2.485636803947088858e-01 4.352253433669239779e-01 3.886932305908057939e-01
4.100000000000000311e-01 4.368512852818547398e-01 3.838280574208003948e-01 1.343416389968421498e-01 2.407755725566599614e-01 4.324807595871598132e-01 3.977522206935094617e-01
4.200000000000000400e-01 4.402242893841470939e-01 3.770667691264048549e-01 1.297995644561760198e-01 2.334181462298456633e-01 4.292982436805272140e-01 4.060096151328129177e-01
4.299999999999999933e-01 4.429112441652474641e-01 3.703560960319863815e-01 1.256687545631304248e-01 2.264913675469539256e-01 4.257569853610840283e-01 4.135031784161184443e-01
4.400000000000000022e-01 4.449818036261949383e-01 3.637443774205903479e-01 1.219375450206699185e-01 2.199938004124760704e-01 4.219296518813983043e-01 4.202738813831743969e-01
4.500000000000000111e-01 4.465032677426266638e-01 3.572736509063689780e-01 1.185953033714352012e-01 2.139228812564328841e-01 4.178826361402208089e-01 4.263649474221140601e-01
4.600000000000000200e-01 4.475401349941438567e-01 3.509802808257181383e-01 1.156322632317620946e-01 2.082751291716357367e-01 4.136763439836442791e-01 4.318210225315358142e-01
4.700000000000000289e-01 4.481537734785460136e-01 3.448955277584373480e-01 1.130393705923612990e-01 2.030463061200319663e-01 4.093655061246609939e-01 4.366874608328932816e-01
4.800000000000000377e-01 4.484021924919140423e-01 3.390460634851625299e-01 1.108081441302016246e-01 1.982315389716181597e-01 4.049995035209887351e-01 4.410097164198150677e-01
4.899999999999999911e-01 4.483398984776381102e-01 3.334544359791875578e-01 1.089305505204684055e-01 1.938254127196560039e-01 4.006226977614625873e-01 4.448328321244368055e-01
5.000000000000000000e-01 4.480178211520176035e-01 3.281394890366868822e-01 1.073988950190845060e-01 1.898220422250496142e-01 3.962747601482270454e-01 4.482010157823594909e-01
5.100000000000000089e-01 4.474832973825366711e-01 3.231167409708409766e-01 1.062057270566359041e-01 1.862151282167602839e-01 3.919909948344961759e-01 4.511572948048365728e-01
5.200000000000000178e-01 4.467801020121774380e-01 3.183987265091041130e-01 1.053437602061856326e-01 1.829980019572958472e-01 3.878026526794477458e-01 4.537432402542924681e-01
5.300000000000000266e-01 4.459485162890620136e-01 3.139953056915439356e-01 1.048058056278747679e-01 1.801636619228075276e-01 3.837372334876979485e-01 4.559987521155138279e-01
5.400000000000000355e-01 4.450254258765738435e-01 3.099139432065913802e-01 1.045847179283688477e-01 1.777048050009925884e-01 3.798187750743714508e-01 4.579618980198416067e-01
5.500000000000000444e-01 4.440444415919019283e-01 3.061599612429012907e-01 1.046733522804211974e-01 1.756138540430364492e-01 3.760681281871907089e-01 4.596687982824878560e-01
5.600000000000000533e-01 4.430360370604922160e-01 3.027367685962661370e-01 1.050645316119505485e-01 1.738829830825478207e-01 3.725032167647061576e-01 4.611535507294828307e-01
5.700000000000000622e-01 4.420276983877384769e-01 2.996460684569489108e-01 1.057510226794232261e-01 1.725041411305489325e-01 3.691392833467748158e-01 4.624481894036718277e-01
5.800000000000000711e-01 4.410440817517546352e-01 2.968880470194369958e-01 1.067255198774324787e-01 1.714690751477008224e-01 3.659891197042635658e-01 4.635826718348605713e-01
5.899999999999999689e-01 4.401071755177066724e-01 2.944615448042557371e-01 1.079806356944690571e-01 1.707693525635801679e-01 3.630632829395921135e-01 4.645848901289277300e-01
5.999999999999999778e-01 4.392364640814950816e-01 2.923642123590185493e-01 1.095088967978805478e-01 1.703963835432488472e-01 3.603702974436240880e-01 4.654807016678338960e-01
6.099999999999999867e-01 4.384490911716355521e-01 2.905926518119635316e-01 1.113027448129793179e-01 1.703414430793204759e-01 3.579168431887550517e-01 4.662939757132772978e-01
6.199999999999999956e-01 4.377600207880243954e-01 2.891425455827579261e-01 1.133545409471719279e-01 1.705956929041407832e-01 3.557079309028362002e-01 4.670466526691043896e-01
6.300000000000000044e-01 4.371821943393108256e-01 2.880087734091983376e-01 1.156565736975660036e-01 1.711502031614436647e-01 3.537470647102182175e-01 4.677588131806977856e-01
6.400000000000000133e-01 4.367266828671115264e-01 2.871855187228967710e-01 1.182010689657303354e-01 1.719959737437790626e-01 3.520363928505266249e-01 4.684487546340228015e-01
6.500000000000000222e-01 4.364028335204295783e-01 2.866663652985230182e-01 1.209802019861028338e-01 1.731239551853465120e-01 3.505768470967480233e-01 4.691330729636741248e-01
6.600000000000000311e-01 4.362184096759401108e-01 2.864443850068395525e-01 1.239861105517670176e-01 1.745250689951260425e-01 3.493682714952961454e-01 4.698267479900268828e-01
6.700000000000000400e-01 4.361797242925595230e-01 2.865122174210040229e-01 1.272109090943147336e-01 1.761902273185632362e-01 3.484095410440395946e-01 4.705432307824197191e-01
6.800000000000000488e-01 4.362917662491830328e-01 2.868621419548639806e-01 1.306467032401444073e-01 1.781103518255623686e-01 3.476986709121586139e-01 4.712945317905476994e-01
6.900000000000000577e-01 4.365583195460696064e-01 2.874861431500052578e-01 1.342856045265242715e-01 1.802763917351644374e-01 3.472329167892458379e-01 4.720913087021035293e-01
7.000000000000000666e-01 4.369820753570942129e-01 2.883759696746037160e-01 1.381197450147288452e-01 1.826793409022346160e-01 3.470088669316526153e-01 4.729429531740149129e-01
7.100000000000000755e-01 4.375647370063288633e-01 2.895231875491054430e-01 1.421412915858572545e-01 1.853102539068876842e-01 3.470225264525879649e-01 4.738576757493909164e-01
7.199999999999999734e-01 4.383071180100224784e-01 2.909192280712096235e-01 1.463424597479333900e-01 1.881602611031849837e-01 3.472693943793357940e-01 4.748425884150990206e-01
7.299999999999999822e-01 4.392092333784480274e-01 2.925554308748672394e-01 1.507155268198462628e-01 1.912205825982054019e-01 3.477445339772577970e-01 4.759037843779392318e-01
7.399999999999999911e-01 4.402703844115599674e-01 2.944230825236532345e-01 1.552528443905943356e-01 1.944825411467462628e-01 3.484426368156257059e-01 4.770464147427156965e-01
7.500000000000000000e-01 4.414892372520790031e-01 2.965134510079394659e-01 1.599468499799883148e-01 1.979375739591865135e-01 3.493580810261099345e-01 4.782747618651481125e-01
7.600000000000000089e-01 4.428638954800007133e-01 2.988178164872266063e-01 1.647900778507728758e-01 2.015772434312690653e-01 3.504849841801021548e-01 4.795923092282660671e-01
